model,eval_country,gps_dimension,z,bias_base,bias_adapter,movement,shrunk,z_aligned
NGA_adapter,NGA,trust,-0.057804402,-0.3544673101616203,-0.22068009225825538,0.13378721790336492,True,False
NLD_adapter,NLD,altruism,-0.19006243,0.9498617638891753,1.569154813066018,0.6192930491768427,False,False
NLD_adapter,NLD,negrecip,0.41444093,0.7162419090721601,2.2234898551894826,1.5072479461173225,False,True
NLD_adapter,NLD,patience,0.9517078,-0.5718019360325866,-0.46788336852697077,0.10391856750561579,True,True
NLD_adapter,NLD,posrecip,-0.14840142,-0.3416260893150149,-0.3800146030316226,-0.038388513716607675,False,True
NLD_adapter,NLD,risktaking,0.18932624,1.2122832825152363,1.3080934427176394,0.09581016020240307,False,True
NLD_adapter,NLD,trust,0.29805693,-0.02119972285345149,-0.10139662183413302,-0.08019689898068152,False,False
TUR_adapter,TUR,altruism,-0.27897453,1.015041266233622,1.3269858005018538,0.3119445342682319,False,False
TUR_adapter,TUR,negrecip,0.51675504,0.5485134564742601,1.1948025567799594,0.6462891003056993,False,True
TUR_adapter,TUR,patience,-0.0473989,-0.18119534823509886,-0.14620744908173167,0.0349878991533672,True,False
TUR_adapter,TUR,posrecip,-0.44317982,-0.3364988362547249,-0.3817033066767158,-0.04520447042199094,False,True
TUR_adapter,TUR,risktaking,0.023427222,1.0337522333030784,1.0318751968048367,-0.0018770364982416687,True,False
TUR_adapter,TUR,trust,0.12911025,-0.11986941649795557,-0.22885705758755878,-0.10898764108960321,False,False
ARG_adapter,ARG,altruism,0.027346682,0.9694616716995128,1.5233706309273523,0.5539089592278394,False,True
ARG_adapter,ARG,negrecip,-0.14045727,-0.14391851371571884,0.964298842568223,1.1082173562839417,False,False
ARG_adapter,ARG,patience,-0.22930798,-0.3793758097408762,-0.4238071443031135,-0.0444313345622373,False,True
ARG_adapter,ARG,posrecip,0.15967931,-0.22326630731875163,-0.2664829924552463,-0.04321668513649468,False,False
ARG_adapter,ARG,risktaking,0.04150317,0.6987214553978428,0.5223319423803953,-0.17638951301744754,True,False
ARG_adapter,ARG,trust,-0.20673333,-0.3295430754038212,-0.3494713573047397,-0.0199282819009185,False,True
CHN_adapter,CHN,altruism,0.5048251,1.006376625781299,0.8293261429676511,-0.17705048281364788,True,False
CHN_adapter,CHN,negrecip,0.025847053,-0.19271659914242056,-1.1321226613725008,-0.9394060622300803,False,False
CHN_adapter,CHN,patience,0.39810467,-0.48775229197552644,-0.45836345464953404,0.0293888373259924,True,True
CHN_adapter,CHN,posrecip,0.4793372,-0.23663167382650874,-0.32551113239682006,-0.08887945857031132,False,False
CHN_adapter,CHN,risktaking,-0.019810122,1.5156230311764989,1.2048599860852984,-0.31076304509120045,True,True
CHN_adapter,CHN,trust,0.5528058,-0.05013169039677053,-0.15816066549473007,-0.10802897509795953,False,False
DEU_adapter,DEU,altruism,-0.051002067,0.9006152781826883,-0.005216761090476256,-0.9058320392731646,True,True
DEU_adapter,DEU,negrecip,-0.29426524,0.7908755425257801,0.6041350271884309,-0.18674051533734914,True,True
DEU_adapter,DEU,patience,0.6243982,-0.5224263891660196,-0.5496370428334897,-0.02721065366747011,False,False
DEU_adapter,DEU,posrecip,-0.07986503,-0.17849294364832902,-0.09791466938037507,0.08057827426795394,True,False
DEU_adapter,DEU,risktaking,-0.044485882,1.4660886777442799,1.4386219536657527,-0.027466724078527127,True,True
DEU_adapter,DEU,trust,-0.11882253,-0.08434634300976902,0.06372828300119408,0.1480746260109631,True,False
GBR_adapter,GBR,altruism,0.028450366,0.8019148226404685,1.598711539788176,0.7967967171477074,False,True
GBR_adapter,GBR,negrecip,0.024550388,0.14660304751810888,0.6508217842423851,0.5042187367242763,False,True
GBR_adapter,GBR,patience,0.5350247,-0.40423839263874844,-0.29091475059802857,0.11332364204071987,True,True
GBR_adapter,GBR,posrecip,-0.038331732,-0.137259800387187,-0.22515720849794219,-0.08789740811075519,False,True
GBR_adapter,GBR,risktaking,0.04868467,1.1995625170575446,1.128394273938077,-0.07116824311946757,True,False
GBR_adapter,GBR,trust,0.23470205,-0.06985831536453845,-0.1960516011070017,-0.12619328574246325,False,False
JPN_adapter,JPN,altruism,-0.24104115,1.0240074782248092,0.1955664983626184,-0.8284409798621908,True,True
JPN_adapter,JPN,negrecip,0.22034328,0.062069163865454524,-0.30848723020541735,-0.3705563940708719,False,False
