bank,eval_country,gps_dimension,matched_tvd,mean_cross_tvd,best_cross_tvd,delta_vs_mean_cross,delta_vs_best_cross,n_cross_adapters
co2_8,IND,patience,0.5486147690000296,0.6745836957090755,0.5537173355554902,-0.12596892670904591,-0.005102566555460597,7
co2_8,IND,posrecip,0.5044448818305777,0.43829312196545084,0.39781449785997686,0.06615175986512684,0.10663038397060082,7
co2_8,IND,risktaking,0.49992371732474444,0.6431341673046783,0.5020911363019752,-0.14321044997993387,-0.002167418977230773,7
co2_8,IND,trust,0.5703220077032166,0.5060558808779092,0.41107171251805563,0.06426612682530741,0.15925029518516098,7
co2_8,NGA,altruism,0.4458059957492208,0.37881088095427423,0.12784753537492563,0.06699511479494658,0.3179584603742952,7
co2_8,NGA,negrecip,0.5595750816226153,0.508612358941878,0.44414572745983694,0.050962722680737316,0.11542935416277833,7
co2_8,NGA,patience,0.6841849768701788,0.7444083222171388,0.6412063283365882,-0.060223345346960055,0.04297864853359057,7
co2_8,NGA,posrecip,0.3513209361204846,0.4167659715655117,0.37594763924199465,-0.06544503544502711,-0.024626703121510052,7
co2_8,NGA,risktaking,0.7211048999819902,0.6944339109216358,0.5693025594903521,0.026670989060354477,0.1518023404916381,7
co2_8,NGA,trust,0.3667950255233925,0.49190731330544574,0.4331746806383756,-0.12511228778205324,-0.06637965511498312,7
co2_8,NLD,altruism,0.8103567593157875,0.35919812832804754,0.06759168473214937,0.45115863098774,0.7427650745836382,7
co2_8,NLD,negrecip,0.6852191966898806,0.3907165119156581,0.3456899093122723,0.29450268477422253,0.33952928737760835,7
co2_8,NLD,patience,0.6497697505463051,0.637185640495617,0.5627678097643949,0.012584110050688158,0.08700194078191026,7
co2_8,NLD,posrecip,0.3477246509048059,0.3197538772076274,0.25609779200675203,0.02797077369717854,0.09162685889805389,7
co2_8,NLD,risktaking,0.5181102064324918,0.4653405158199952,0.40911302908209735,0.052769690612496645,0.10899717735039449,7
co2_8,NLD,trust,0.3286672770320433,0.3699374013278618,0.26021622082252444,-0.0412701242958185,0.06845105620951886,7
co2_8,TUR,altruism,0.6982520220973537,0.3988526614917693,0.0174403557272118,0.2993993606055844,0.6808116663701419,7
co2_8,TUR,negrecip,0.46605141916847803,0.42290056136607657,0.3593748885472826,0.043150857802401466,0.10667653062119542,7
co2_8,TUR,patience,0.5429325034576309,0.5630924371766192,0.49247511810212447,-0.020159933718988277,0.05045738535550642,7
co2_8,TUR,posrecip,0.37718574410164285,0.42228279596367674,0.34541906937707484,-0.04509705186203389,0.03176667472456801,7
co2_8,TUR,risktaking,0.5332029696860615,0.5172306890641617,0.38836457359979665,0.015972280621899815,0.14483839608626486,7
co2_8,TUR,trust,0.35418976449900047,0.4416707624545323,0.3359788109758675,-0.08748099795553183,0.018210953523132956,7
