model,eval_country,question_id,n_options,tv_distance,js_divergence,entropy_error,std_error,mean_error,top_option_match
USA_adapter,USA,Q275,9,0.7697770704097651,0.53236203614795,-2.1656681008343126,-1.2862796641926506,1.4175897371038957,0.0
USA_adapter,USA,Q288,10,0.45695197369005036,0.268929674016793,-1.5280904211418578,-1.2720124160086623,0.7929417889805475,0.0
USA_adapter,USA,Q43,3,0.5828995178137287,0.3480916434899497,-1.4451243892547505,-0.6509702220007374,-0.019324390464026342,1.0
USA_adapter,USA,Q50,10,0.7112362271378498,0.483742128874297,-2.0559330162903633,-1.8959732930577027,0.2054502434965464,0.0
USA_adapter,USA,Q57,2,0.25063842799351177,0.04580314239429782,0.0042265626121122946,0.001480888578655415,-0.25063842799351166,0.0
USA_adapter,USA,Q58,4,0.5380923114857745,0.23989107132710355,-0.7062874741907269,-0.3140584623973769,0.4282385556205994,0.0
USA_adapter,USA,Q59,4,0.3523590571897715,0.15906071615279468,-1.255799500144096,-0.5232215603852184,-0.21072214079655138,1.0
USA_adapter,USA,Q60,4,0.355366286377023,0.14995143533336952,-1.066654513958768,-0.42899520857549206,0.1533539862509421,1.0
USA_adapter,USA,Q61,4,0.5761676842503602,0.3220828647271421,-1.3309552527371964,-0.553423211906374,-0.733330522768691,0.0
USA_adapter,USA,Q62,4,0.3138697672203277,0.14643874603425844,-1.2073264232026155,-0.5114599172484557,-0.20057337215805893,1.0
USA_adapter,USA,Q63,4,0.31542255827762233,0.14059779382431264,-1.1803390712306634,-0.4959622096852993,-0.20911122375116697,1.0
USA_adapter,USA,Q64,4,0.3589852293403042,0.14233371303897294,-0.9202823976174863,-0.416059695522219,-0.2395674933209544,1.0
USA_adapter,USA,Q69,4,0.38002976846640435,0.16541952348338118,-1.096977174861868,-0.4743629554641051,-0.04665785091029884,1.0
USA_adapter,USA,Q70,4,0.3928814599705794,0.15066845755270733,-1.0204440791714715,-0.4148188475734385,-0.25427948497595976,1.0
