country,item,mean,n
EGY,Q177,9.21084864391951,1143
EGY,Q179,9.93389121338912,1195
EGY,Q195,6.63855421686747,1162
EGY,Q99,0.006672226855713094,1199
EGY,Q101,0.07172643869891576,1199
EGY,Q103,0.005838198498748957,1199
GBR,Q57,0.4612536538765905,2567
GBR,Q58,3.777967181332606,2601
GBR,Q59,3.034750740247834,2578
GBR,Q60,3.4740630740976806,2597
GBR,Q61,2.4570449678118558,2574
GBR,Q62,2.9654533042845297,2465
GBR,Q63,2.985841540554342,2489
GBR,Q64,2.3605497800120623,2502
GBR,Q73,2.003090690568193,2538
GBR,Q43,1.75251255430441,2557
GBR,Q50,6.73072318692425,2590
GBR,Q106,5.896470857780287,2561
GBR,Q107,5.308615018274245,2503
GBR,Q109,3.786575021699616,2557
GBR,Q178,2.495917453352712,2577
GBR,Q81,2.8929931629792853,2535
GBR,Q176,5.842187200137758,2523
GBR,Q177,9.06662952696581,2579
GBR,Q179,9.515653369137143,2588
GBR,Q195,4.539528188982468,2552
GBR,Q99,0.18243325116757547,2587
GBR,Q101,0.4293544105280664,2584
GBR,Q103,0.1780841967342961,2579
GBR,Q69,2.7775420710023386,2590
GBR,Q70,2.7620113199619496,2499
GBR,Q71,1.9866741843868163,2574
GRC,Q57,0.08526826328159409,1188
GRC,Q58,3.9114443759164472,1199
GRC,Q59,2.699278959807192,1195
GRC,Q60,3.0575836647533245,1194
GRC,Q61,1.7016365593280156,1190
GRC,Q62,1.929285665101038,1146
GRC,Q63,1.9215737228252956,1166
GRC,Q64,2.836220105820797,1194
GRC,Q73,1.7091197818874175,1181
GRC,Q43,2.323273630574541,1138
GRC,Q50,4.983505848209801,1192
GRC,Q106,5.317334297835168,1163
GRC,Q107,4.704445212483188,1149
GRC,Q109,4.185196787672721,1188
GRC,Q178,2.441157387859845,1197
GRC,Q81,2.4805681411928346,1143
GRC,Q176,5.7262983733032,1152
GRC,Q177,9.38236158330671,1193
GRC,Q179,9.853313927196456,1195
GRC,Q195,2.4279004236043265,1142
GRC,Q99,0.04452221405449491,1199
GRC,Q101,0.058470716985344284,1199
GRC,Q103,0.048481911693782576,1198
GRC,Q69,2.849256201485107,1194
GRC,Q70,2.61030047923705,1182
GRC,Q71,1.6565887399407335,1181
GTM,Q57,0.17982099267697316,1229
GTM,Q58,3.706655710764174,1217
GTM,Q59,2.445091514143095,1202
GTM,Q60,2.785773366418528,1209
GTM,Q61,1.8329197684036393,1209
GTM,Q62,2.332220367278798,1198
GTM,Q63,2.1254152823920265,1204
GTM,Q64,3.0829943043124493,1229
GTM,Q73,1.628152969894223,1229
GTM,Q43,2.1749389747762407,1229
GTM,Q50,6.965012205044752,1229
GTM,Q106,7.166118421052632,1216
GTM,Q107,5.99833748960931,1203
GTM,Q109,4.751655629139073,1208
GTM,Q178,3.6981757877280264,1206
GTM,Q81,2.3254678600488203,1229
GTM,Q176,5.774086378737541,1204
GTM,Q177,6.857615894039735,1208
GTM,Q179,8.764705882352942,1207
GTM,Q195,5.092868988391376,1206
GTM,Q99,0.3313758389261745,1192
GTM,Q101,0.4125523012552301,1195
GTM,Q103,0.36770921386306,1183
GTM,Q69,1.8771358828315703,1229
GTM,Q70,1.8299430431244914,1229
GTM,Q71,1.6802278275020341,1229
IDN,Q57,0.04638056245483822,3199
IDN,Q58,3.658014928529195,3199
IDN,Q59,2.6778272691090192,3198
IDN,Q60,2.511545636907292,3198
IDN,Q61,1.5957086491013655,3198
IDN,Q62,2.1086472134829237,3189
IDN,Q63,1.8615886914888296,3171
IDN,Q64,3.833626871116651,3198
IDN,Q73,2.5526932870400905,3167
IDN,Q43,2.016561460633215,3186
IDN,Q50,6.488268226717567,3196
IDN,Q106,6.815028884168267,3187
IDN,Q107,6.644193161308322,3184
IDN,Q109,4.493535254048414,3193
IDN,Q178,2.8020182863072263,3193
IDN,Q81,3.266472023136276,3192
IDN,Q176,4.9902432246715644,3152
IDN,Q177,7.656707909701487,3183
IDN,Q179,9.417116234424268,3196
IDN,Q195,3.407920079649993,3164
IDN,Q99,0.5244288379823909,3188
IDN,Q101,0.6254791998644592,3194
IDN,Q103,0.2790157533017139,3181
IDN,Q69,2.872923796620269,3197
IDN,Q70,2.9979234455671473,3182
IDN,Q71,3.134486803885116,3185
IND,Q57,0.17139778234494046,1668
IND,Q58,3.8310628346950932,1691
IND,Q59,3.0270081194504534,1691
IND,Q60,3.022335421867548,1683
IND,Q61,2.1124595616955446,1669
IND,Q62,2.5458239117574166,1659
IND,Q63,2.158661223041452,1548
IND,Q64,3.579053581368752,1683
IND,Q73,2.99380414954213,1550
IND,Q43,2.2835275090214577,1671
IND,Q50,6.433163041937872,1684
IND,Q106,7.143672342975002,1651
IND,Q107,6.432351060192392,1649
IND,Q109,5.106502016438261,1612
IND,Q178,2.27022359230472,1685
IND,Q81,2.980922545149029,1379
IND,Q176,6.989701981318513,1548
IND,Q177,8.345741952996768,1651
IND,Q179,9.143688084092455,1683
IND,Q195,3.8350865411834625,1625
IND,Q99,0.4393506328883308,1591
IND,Q101,0.42584066610014276,1587
IND,Q103,0.6558936104465184,1589
IND,Q69,2.8852674709633304,1681
IND,Q70,3.058253232531689,1662
IND,Q71,2.7848971240458655,1658
IRN,Q57,0.1483957219251337,1496
IRN,Q58,3.8325550366911276,1499
IRN,Q59,2.887474882786336,1493
IRN,Q60,3.03475935828877,1496
IRN,Q61,1.9852941176470589,1496
IRN,Q62,2.5945757997218357,1438
IRN,Q63,2.0068073519400955,1469
IRN,Q64,3.0489604292421193,1491
IRN,Q73,2.645336963921035,1469
IRN,Q43,2.618022864828514,1487
IRN,Q50,5.545697131420948,1499
IRN,Q106,6.853020134228188,1490
IRN,Q107,6.093622795115333,1474
IRN,Q109,3.530955585464334,1486
IRN,Q178,2.7140939597315437,1490
IRN,Q81,3.039570757880617,1491
IRN,Q176,5.9187887130075705,1453
IRN,Q177,7.401633764465623,1469
IRN,Q179,9.540106951871659,1496
IRN,Q195,6.861859838274933,1484
IRN,Q99,0.19171676686706746,1497
IRN,Q101,0.4276184122748499,1499
IRN,Q103,0.29745989304812837,1496
IRN,Q69,3.2771084337349397,1494
IRN,Q70,3.0161290322580645,1488
IRN,Q71,2.415043653458697,1489
IRQ,Q57,0.11243611584327087,1174
IRQ,Q58,3.92743953294412,1199
IRQ,Q59,3.1180904522613067,1194
IRQ,Q60,3.1463210702341136,1196
IRQ,Q61,1.919931856899489,1174
IRQ,Q62,2.305531167690957,1139
IRQ,Q63,1.9715808170515097,1126
IRQ,Q64,2.7138018628281118,1181
IRQ,Q73,1.4807355516637477,1142
IRQ,Q43,2.3957446808510636,1175
IRQ,Q50,4.454166666666667,1200
IRQ,Q106,4.724166666666667,1200
IRQ,Q107,4.553333333333334,1200
IRQ,Q109,7.136666666666667,1200
IRQ,Q178,2.986666666666667,1200
IRQ,Q81,2.4272727272727272,1100
IRQ,Q176,6.95,1200
IRQ,Q177,7.435,1200
IRQ,Q179,8.584166666666667,1200
IRQ,Q195,4.960833333333333,1200
IRQ,Q99,0.1400343642611684,1164
IRQ,Q101,0.42517006802721086,1176
IRQ,Q103,0.26184323858742464,1161
IRQ,Q69,2.650570676031607,1139
IRQ,Q70,2.3313253012048194,1162
IRQ,Q71,1.7256255392579811,1159
JOR,Q57,0.1596989966555184,1196
JOR,Q58,3.8786367414796343,1203
JOR,Q59,2.987437185929648,1194
JOR,Q60,3.054908485856905,1202
JOR,Q61,2.030025020850709,1199
JOR,Q62,2.4239316239316238,1170
JOR,Q63,2.294017094017094,1170
JOR,Q64,2.943541488451668,1169
JOR,Q73,1.4309734513274337,1130
JOR,Q43,2.2944630872483223,1192
JOR,Q50,5.41645885286783,1203
JOR,Q106,7.9608659450457955,1201
JOR,Q107,5.532133676092545,1167
JOR,Q109,2.5673400673400675,1188
JOR,Q81,2.514456630109671,1003
JOR,Q176,4.678960603520537,1193
JOR,Q177,8.005084745762712,1180
JOR,Q179,9.624166666666667,1200
JOR,Q195,5.33585222502099,1191
JOR,Q99,0.05172413793103448,1160
JOR,Q101,0.13671539122957868,1163
JOR,Q103,0.09153713298791019,1158
JOR,Q69,3.6418410041841005,1195
JOR,Q70,3.245508982035928,1169
JOR,Q71,2.1896383186705766,1023
JPN,Q57,0.3559718969555035,1281
