iso3,year,gdp_pc_ppp,gini,agri_empl
CHL,2018,28499.4064000406,,7.25607207765418
CHL,2019,28227.9790507594,,7.03079649547351
CHN,2015,14857.1088234405,38.6,28.3004717268993
CHN,2016,15772.8372607502,38.5,27.4221249065299
CHN,2017,16758.0463976858,39.1,26.6835826166189
CHN,2018,17807.0490552244,38.5,25.7514953274594
CHN,2019,18820.5871645645,38.2,24.7219896643701
CIV,2015,5110.90021438908,41.5,50.5367400929959
CIV,2016,5320.88582199186,,52.9240505749256
CIV,2017,5556.1547631509,,50.5079045856325
CIV,2018,5670.24199741353,37.2,48.4041506801604
CIV,2019,5894.92235259103,,45.944939092442
CMR,2015,4698.66677843587,,46.6540418965841
CMR,2016,4767.13186148953,,45.7044523170765
CMR,2017,4797.97544185544,,44.8112563190088
CMR,2018,4851.48003949961,,43.8919191923519
CMR,2019,4882.35560028896,,43.045070011853
COD,2015,1433.21579814709,,60.1840974526037
COD,2016,1388.80163211633,,60.3102619261741
COD,2017,1395.71961761712,,60.2408046031639
COD,2018,1431.7285269693,,59.676883316964
COD,2019,1394.76461472893,,59.3584094811143
COG,2015,8977.70681641417,,34.2267854630076
COG,2016,8001.8255194505,,35.061291113473
COG,2017,7372.77046737599,,35.9303524430645
COG,2018,7029.33651566257,,36.3755911493004
COG,2019,6939.36913397466,,36.206791116104
COL,2015,16821.3801400631,52.0,15.3875001230881
COL,2016,17003.244366485,51.7,15.3821230426391
COL,2017,16986.0334182842,50.9,15.9879816403274
COL,2018,17104.1313545678,51.6,16.0283372646524
COL,2019,17336.7716030551,52.5,15.1829622104953
COM,2015,3370.5557232032,,37.8024454022098
COM,2016,3411.77123523582,,37.1193190691863
COM,2017,3472.07858942366,,36.1806383870388
COM,2018,3528.95868167877,,35.2376768603776
COM,2019,3522.66866952646,,34.5633633534748
CPV,2015,7560.13649202469,42.4,14.2477810962016
CPV,2016,7881.30336227784,,13.9188834671284
CPV,2017,8234.56000312459,,13.5237176327464
CPV,2018,8531.12961646549,,11.8384610669327
CPV,2019,9111.62993173269,,10.6045685688918
CRI,2015,21265.3176336354,48.4,15.7903242934085
CRI,2016,21936.4660575366,48.7,15.7151904851901
CRI,2017,22633.7648663302,48.3,15.3615402805872
CRI,2018,23069.8622241266,48.0,15.7834333419824
CRI,2019,23496.8294622995,48.2,15.3081432648276
CSS,2015,25404.134970126,,8.06222033211267
CSS,2016,24339.8256633701,,7.93035474237749
CSS,2017,23920.5893237126,,7.7377316200358
CSS,2018,24024.8178299696,,7.70516173754176
CSS,2019,24095.6268884397,,7.41402521366343
CUB,2015,,,18.4846599696648
CUB,2016,,,18.1282915098073
CUB,2017,,,17.7464308922507
CUB,2018,,,17.3688237093543
CUB,2019,,,17.0201050042897
CUW,2015,30861.3207651786,,
CUW,2016,30209.7882553609,,
CUW,2017,29729.1013639498,,
CUW,2018,29256.8157865286,,
CUW,2019,28659.6559014065,,
CYM,2015,73315.3845299162,,
CYM,2016,73941.8592413192,,
CYM,2017,74599.6799559357,,
CYM,2018,76124.5505976249,,
CYM,2019,77476.8409913609,,
CYP,2015,37258.5,34.0,3.99523822310536
CYP,2016,39500.8515625,32.9,3.64348114026952
CYP,2017,41417.98828125,31.4,2.52747926929767
CYP,2018,43510.03125,32.7,2.16570854548129
CYP,2019,45454.17578125,31.2,2.41074723073563
CZE,2015,42066.5759800801,25.9,2.92550905922513
CZE,2016,43069.4659744727,25.4,2.90149504358956
CZE,2017,45177.5226053634,24.9,2.80295199311181
CZE,2018,46301.082036029,25.0,2.80219299241012
CZE,2019,47763.6165520254,25.3,2.66377082699749
DEU,2015,59668.9890355282,31.4,1.39978647623171
DEU,2016,60504.5857417161,31.3,1.30724054984753
DEU,2017,61965.4342904965,31.3,1.27775937087065
DEU,2018,62481.1183971045,31.9,1.26910924531579
DEU,2019,62949.8932511855,32.2,1.18740607688
DJI,2015,4961.8681860592,,1.41053553476381
DJI,2016,5226.50026106607,,1.35362565373966
DJI,2017,5421.95649149613,41.6,1.32424871508248
DJI,2018,5590.50426604853,,1.29199266361758
DJI,2019,5809.30455041341,,1.25780431116985
