iso3,m_trust_general,m_trust_in_group,m_trust_out_group,m_trust_institution,gps_trust,n_trust_general,n_trust_in_group,n_trust_out_group,n_trust_institution
NIC,0.0425,0.663888888888889,0.2945833333333333,0.3938888888888889,0.022988805547356606,1200,1200,1200,1200
NIR,0.4073226544622426,0.874439461883408,0.6245017438963628,0.43796711509716,,437,446,446,446
NLD,0.6120556414219475,0.8924574209245744,0.6504950495049505,0.45737284435712733,0.2980569303035736,1941,2055,2020,2036
NZL,0.5950248756218905,0.8799161831076725,0.5960239651416123,0.5611757105943154,,1005,1034,1020,1032
PAK,0.23496715512885297,0.8060849214309596,0.4063806656631544,0.6031272626009468,-0.10337088257074356,1979,1994,1993,1995
PER,0.05304659498207885,0.6339285714285715,0.2558333333333334,0.2757962036375189,-0.0969185009598732,1395,1400,1400,1399
PHL,0.053467000835421885,0.7936111111111112,0.43895833333333345,0.7150694444444445,0.35706308484077454,1197,1200,1200,1200
PRI,0.17831541218637992,0.769925925925926,0.4971604938271605,0.40464197530864204,,1116,1125,1125,1125
ROU,0.11873990306946688,0.7359893758300133,0.3499911394648237,0.4214273026023626,-0.21704743802547455,1238,1255,1254,1251
RUS,0.23909348441926345,0.7966445427728615,0.44279595735502564,0.4982261640798227,-0.15077486634254456,1765,1808,1803,1804
SGP,0.33983983983983984,0.8106135986733003,0.47166943062465455,0.6438268527750083,,1998,2010,2010,2006
SRB,0.1661807580174927,0.813262684649968,0.47709739633558346,0.39068659302577435,-0.16020424664020538,1029,1038,1037,1026
SVK,0.21596638655462186,0.7809722222222223,0.48350477249559815,0.3929756278380132,,1190,1200,1199,1199
THA,0.3136842105263158,0.8035356904603068,0.46472574779188014,0.57258487654321,0.3484398126602173,1425,1499,1497,1440
TJK,0.20583333333333334,0.7806944444444445,0.3227083333333333,0.7506347882494672,,1200,1200,1200,1199
TUN,0.14249146757679182,0.7301850317591826,0.41323475216510047,0.3700350682908823,,1172,1207,1206,1204
TUR,0.14261603375527426,0.7613228389947528,0.438842880147228,0.6330173884968405,0.12911024689674377,2370,2414,2415,2409
TWN,0.3098937040065413,0.8233851185609158,0.5017715998909785,0.5125874443535933,,1223,1223,1223,1223
UKR,0.3065286624203822,0.764751552795031,0.4755054432348368,0.37191166321601116,-0.09238698333501816,1256,1288,1286,1288
URY,0.14859437751004015,0.764,0.43162607051495944,0.5030777777777777,,996,1000,999,1000
USA,0.39737147274835716,0.7888846005403319,0.5451844701844702,0.4613492983133771,0.15036696195602417,2587,2591,2590,2589
UZB,0.34710743801652894,0.7311182279156659,0.39321383984305336,0.7366381994484477,,1210,1249,1246,1249
VEN,0.14201680672268907,0.7028011204481793,0.3771008403361345,0.3178711484593838,0.11499140411615372,1190,1190,1190,1190
VNM,0.27666666666666667,0.799861111111111,0.4628472222222223,0.7380694444444444,0.14363136887550354,1200,1200,1200,1200
ZWE,0.0214168039538715,0.7436847885777046,0.44217920556470813,0.5210196616369457,-0.5091331005096436,1214,1214,1214,1215
