facet,spec,n,b_female,b_age,b_age2,b_educ,se_female,se_age,se_age2,se_educ
m_patience_financial,MEX,1730,-0.009860870967275654,-0.30501542721947017,0.390279131796353,0.024876534915517785,0.012968405559566614,0.21148506462896105,0.22340644036867185,0.004263684817719073
m_patience_financial,pooled,95197,-0.0020844151138140507,-0.5638818095546015,0.6438186739950552,0.015466682895720152,0.0035368577835410884,0.06411082197796852,0.0771326040955241,0.0013987846707378933
m_risktaking_economic_values,USA,2559,0.01359866559957337,-0.22990696846198236,0.12020833887601247,-0.008008001941659093,0.006847515296681887,0.1173202203316678,0.12240659108507443,0.0021066482710052205
m_risktaking_economic_values,MEX,1724,0.010147366678183575,-0.37375182950360614,0.3321213339284819,-0.00516347778406967,0.010844419779809523,0.17695380544873981,0.18694010799433497,0.0035644539605857034
m_risktaking_economic_values,pooled,95321,0.014284813859028214,-0.018623114787189737,-0.005310035600775467,-0.0018124864041460104,0.0025050796663507575,0.024086937303283495,0.02440551011330567,0.0009145037878048673
m_risktaking_rule_breaking,USA,2546,0.012563200004873586,-1.097451966176975,0.7111549223760915,-0.020450594598543384,0.009649768256235319,0.1655258937664128,0.17263341720378325,0.002966397697271966
m_risktaking_rule_breaking,MEX,1711,-0.029051802810741087,-0.7956485190216119,0.597620230657331,-0.013704457503492544,0.016776806449556432,0.2737442247275507,0.2895858056884309,0.0055360309956369366
m_risktaking_rule_breaking,pooled,92380,-0.008468197020553717,-0.14650760372093116,-0.05237269158991676,-0.00572568019698849,0.0028435063848954345,0.057635371907964264,0.05532960640468327,0.0014018496369433712
m_posrecip_child_tolerance,USA,2560,-0.10451340349316694,-0.0392132413248504,-0.18994006336957703,-0.01719053232928452,0.018938797662727318,0.32532211149002177,0.33967733119692994,0.0058320128060985205
m_posrecip_child_tolerance,MEX,1731,-0.05901300476684578,-0.18326712823220928,0.265787244511278,-0.004301474186696747,0.022904367114975243,0.3737193797054999,0.3947707937545155,0.007521225863324022
m_posrecip_child_tolerance,pooled,95144,-0.04979768219270598,0.04197011229953237,-0.07855496248488578,-0.010967871712266285,0.005289677503571222,0.07984191494128755,0.09560368703660022,0.001817641861075136
m_posrecip_religion,USA,2533,0.07494212230582079,0.30140117707514025,-0.10556388022074147,-0.0019673527524909844,0.01718578661411608,0.29576426521990146,0.30882650815349044,0.005305620416016207
m_posrecip_religion,MEX,1720,-0.00804694921902652,0.211410852368769,-0.18141434917191093,0.017244170619904416,0.01727670655791245,0.2816444679542992,0.2973020775000616,0.00568394967372146
m_posrecip_religion,pooled,89271,0.008312450570262945,-0.017917712621351257,0.062585280871332,0.002739641302169571,0.005171038574320479,0.08987384805730665,0.0970553710088436,0.002555310108009604
m_posrecip_charitable_confidence,USA,2542,0.019297339807510357,-0.4060014546900487,0.3501878330271691,0.029782600786755688,0.010108594505959984,0.17406726365775393,0.18166993614091118,0.0031106400975719826
m_posrecip_charitable_confidence,MEX,1681,-0.020383844932378766,-0.4294088319650509,0.4894588671421893,0.010024964356057929,0.01668472724831472,0.2734736536794595,0.29001278524762375,0.005481594111112589
m_posrecip_charitable_confidence,pooled,90189,0.014669081106117835,-0.47752113446644,0.4763983699514731,0.0013179693525578915,0.0033494695014290084,0.05616738947690689,0.05755985822973254,0.0017907652296594602
m_negrecip_moral_clarity,USA,2552,-0.0432246232511751,0.044679984538546595,0.20780912652436173,0.027463102369715588,0.012617763064620997,0.2162951896451829,0.22569436671373963,0.003879294294732042
m_negrecip_moral_clarity,MEX,1714,0.0011210377378420356,0.32905174432838624,-0.36928251899212666,0.00027865569938792826,0.01548243389838792,0.2520160513932625,0.266048812920802,0.005103847652704047
m_negrecip_moral_clarity,pooled,92556,-0.003958625719452651,0.052684032354151505,-0.042698991144346214,0.004686871546190294,0.003436724466340644,0.042068568641303206,0.041217121097739236,0.0016368803511626533
m_negrecip_justifiability,USA,2554,0.00828705328133765,0.5707661521404588,-0.3047805648383103,0.01811777236242563,0.007686203685113063,0.13181314747930095,0.1375021087060582,0.002364595326752017
m_negrecip_justifiability,MEX,1724,0.029821423784230805,0.33195465943575747,-0.18200437175601367,0.010924201522447928,0.011398913951521636,0.18597709319910224,0.19656507348274765,0.003743006561311845
m_negrecip_justifiability,pooled,95259,0.010983018193867215,0.12084156281951108,0.0075810107737735955,0.005409425428143312,0.002790902916886692,0.03651914259293652,0.03611265339954715,0.0009365585160396362
m_negrecip_punitiveness,USA,2544,-0.061389719670719954,1.0806749439471244,-1.0354489972441505,-0.02992265623867191,0.013049448647623035,0.2236183899804276,0.23330521615127847,0.004014404938266647
m_negrecip_punitiveness,MEX,1702,-0.027586043638118448,-0.4468581317129004,0.2883588218473803,0.010383917655414744,0.01725407487124782,0.28172723190593285,0.2980771393041046,0.005689708477883616
m_negrecip_punitiveness,pooled,93483,-0.032117679593289795,0.1819310474041617,-0.25978447849547853,-0.0012578136592785527,0.004331026711975187,0.08453315759895937,0.08475879909806613,0.002788472263090382
m_altruism_membership,USA,2558,-0.008821356872971099,-0.3647922001273341,0.4040854499321738,0.0195767383151977,0.009604936140866913,0.16467251590188345,0.17178887162168308,0.0029543088905681462
m_altruism_membership,MEX,1730,-0.00045070021775924976,-0.43159224061361384,0.44302132432929203,0.0034849349075677504,0.01156104671178272,0.18864799677921762,0.199253547790513,0.003795301873560423
m_altruism_membership,pooled,95020,-0.007740754549216749,-0.11653828284727026,0.1386586252120643,0.006575154575569302,0.003423133526305473,0.054564705615086515,0.056022838863017656,0.0012387561677006111
