iso3,m_patience_child_qualities,m_patience_work_values,m_patience_financial,gps_patience,n_patience_child_qualities,n_patience_work_values,n_patience_financial
JOR,0.8221113881961762,0.647231543624161,0.4907176503186478,-0.4184761941432953,1203,1192,1203
JPN,0.46526237989652625,0.7326880119136262,0.5651472710296239,0.10841258615255356,1353,1343,1309
KAZ,0.5815047021943573,0.4128787878787879,0.5719706998499691,-0.25865525007247925,1276,1188,1259
KEN,0.7954186413902053,0.5387096774193548,0.43068783068783073,-0.07622268795967102,1266,1240,1260
KGZ,0.6533333333333333,0.7099659284497445,0.7197180485995177,,1200,1174,1198
KOR,0.5269076305220883,0.5457831325301205,0.5646586345381526,0.36924976110458374,1245,1245,1245
LBN,0.6720833333333334,0.6277310924369748,0.45675925925925925,,1200,1190,1200
LBY,0.8411371237458194,0.8025316455696202,0.6146550863531995,,1196,1185,1113
MAC,0.6089931573802542,0.36947988223748773,0.5778433300557194,,1023,1019,1017
MAR,0.7583333333333333,0.7216666666666667,0.5820370370370369,-0.31072527170181274,1200,1200,1200
MDV,0.6443695861405198,0.8187560738581147,0.6640976236351959,,1039,1029,1038
MEX,0.6995399654974123,0.5297001153402537,0.6455938697318008,-0.10842810571193695,1739,1734,1740
MMR,0.6095833333333334,0.78125,0.5837037037037037,,1200,1200,1200
MNG,0.6132478632478633,0.41025641025641024,0.5815357482024148,,1638,1638,1638
MYS,0.6892612338156893,0.5643564356435643,0.5828890581365829,,1313,1313,1313
NGA,0.8265966046887632,0.5347790507364976,0.42258209626630683,-0.20041942596435547,1237,1222,1235
NIC,0.78125,0.7179166666666666,0.6350925925925925,-0.6125203371047974,1200,1200,1200
NIR,0.7391799544419134,0.3824200913242009,0.6599402092675636,,439,438,446
NLD,0.7277777777777777,0.4238258877434135,0.6975248594898401,0.9517077803611755,2070,1746,2056
NZL,0.5913825757575758,0.3831494483450351,0.6701627881568886,,1056,997,1017
PAK,0.7598997493734336,0.5510411376333164,0.7003129890453834,-0.08310799300670624,1995,1969,1988
PER,0.7639285714285714,0.6384671005061461,0.5946870277578938,-0.10892990976572037,1400,1383,1397
PHL,0.7379166666666667,0.3154166666666667,0.5914814814814815,0.09911276400089264,1200,1200,1200
PRI,0.7160603371783496,0.7384135472370766,0.6845273337280443,,1127,1122,1126
ROU,0.7398568019093079,0.7427265170407316,0.6255277104104913,-0.26815101504325867,1257,1203,1237
RUS,0.5621546961325967,0.6079646017699115,0.5030606566499721,-0.07527794688940048,1810,1695,1797
SGP,0.63941351888668,0.4950024987506247,0.6094527363184079,,2012,2001,2010
SRB,0.6248789932236205,0.6444557477110885,0.4741602067183463,-0.13782070577144623,1033,983,1032
SVK,0.605,0.45081967213114754,0.5371455137145514,,1200,1159,1195
THA,0.58,0.6337167505391804,0.5709607799359976,-0.22972559928894043,1500,1391,1493
TJK,0.71875,0.70375,0.6791666666666667,,1200,1200,1200
TUN,0.3809723386420788,0.6830282861896838,0.39870908252650994,,1193,1202,1205
TUR,0.5807775377969763,0.47221052631578947,0.5428862070559949,-0.047398898750543594,2315,2375,2403
TWN,0.634505314799673,0.7466777408637874,0.6021622603797583,,1223,1204,1223
UKR,0.5760279286268425,0.564373897707231,0.44129483814523185,-0.18166576325893402,1289,1134,1270
URY,0.79,0.5723888314374354,0.6558347292015634,,1000,967,995
USA,0.6645447530864198,0.47172734314484893,0.5660059593211556,0.8112621307373047,2592,2582,2573
UZB,0.6708,0.3913405495420483,0.6351958895311496,,1250,1201,1211
VEN,0.75,0.7810924369747899,0.43183940242763774,-0.22711750864982605,1190,1190,1190
VNM,0.6141666666666666,0.57125,0.686111111111111,0.11049969494342804,1200,1200,1200
ZWE,0.7880658436213992,0.7122835943940643,0.29385362279014376,-0.2385871857404709,1215,1213,1213
